name,smiles
Phenoxypropazine,[H]N([H])N([H])C(C)COC1=CC=CC=C1
Hydracarbazine,[H]N([H])N([H])C1=NN=C(C=C1)C(=O)N([H])[H]
Pivhydrazine,[H]N(CC1=CC=CC=C1)N([H])C(=O)C(C)(C)C
Dexniguldipine,[H]N1C(C)=C([C@@H](C2=CC(=CC=C2)[N+]([O-])=O)C(C(=O)OCCCN2CCC(CC2)(C2=CC=CC=C2)C2=CC=CC=C2)=C1C)C(=O)OC
Niguldipine,[H]N1C(C)=C([C@H](C2=CC(=CC=C2)[N+]([O-])=O)C(C(=O)OCCCN2CCC(CC2)(C2=CC=CC=C2)C2=CC=CC=C2)=C1C)C(=O)OC
Niludipine,[H]N1C(C)=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(C(=O)OCCOCCC)=C1C)C(=O)OCCOCCC
Magnesium sulfate,[Mg++].[O-]S([O-])(=O)=O
Furazolidone,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CCOC1=O
Nitrazepam,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1
Clonazepam,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
Bromazepam,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1
Cinnarizine,C(\C=C\C1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
Perhexiline,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1
Dotarizine,C(CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)CC1(OCCO1)C1=CC=CC=C1
Piribedil,C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1
Dexmedetomidine,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
Zofenopril,C[C@H](CSC(=O)C1=CC=CC=C1)C(=O)N1C[C@H](C[C@H]1C(O)=O)SC1=CC=CC=C1
Quinaprilat,C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CC2=C(C[C@H]1C(O)=O)C=CC=C2
