,cas_number,moldb_smiles,klass
"3,7-Dimethylquercetin",2068-02-2,COC1=CC2=C(C(O)=C1)C(=O)C(OC)=C(O2)C1=CC(O)=C(O)C=C1,Flavonoids
Quercetin 3-O-diglucoside,117-39-5,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,
"Quercetin 3-O-(6""-malonyl-glucoside) 7-O-glucoside",194093-39-5,OCC1OC(OC2=CC3=C(C(O)=C2)C(=O)C(OC2OC(COC(=O)CC(O)=O)C(O)C(O)C2O)=C(O3)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,Flavonoids
Quercetin 3-O-xylosyl-rutinoside,129235-39-8,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)[C@H]1O,
Kaempferol 3-O-(6''-acetyl-galactoside) 7-O-rhamnoside,520-18-3,C[C@@H]1O[C@@H](OC2=CC(O)=C3C(OC(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](COC(C)=O)[C@H](O)[C@H](O)[C@H]4O)C3=O)=C2)[C@H](O)[C@H](O)[C@H]1O,
Kaempferol 3-O-(2''-rhamnosyl-galactoside) 7-O-rhamnoside,520-18-3,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2OC2=C(OC3=CC(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,
Quercetin 3-O-rhamnosyl-(1->2)-rhamnosyl-(1->6)-glucoside,117-39-5,C[C@@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](C)O[C@H]2OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,
3-Methoxysinensetin,1251-84-9,COC1=C(OC)C=C(C=C1)C1=C(OC)C(=O)C2=C(OC)C(OC)=C(OC)C=C2O1,
"3,4-Dimethoxybenzoic acid",93-07-2,COC1=C(OC)C=C(C=C1)C(O)=O,
Ellagic acid arabinoside,302-72-7,[H][C@]1(O)CO[C@@]([H])(OC2=CC3=C4C(OC(=O)C5=CC(O)=C(O)C(OC3=O)=C45)=C2O)[C@]([H])(O)[C@@]1([H])O,
