,cas_number,moldb_smiles,klass
2-(1-Propenyl)-delta1-piperideine,16543-92-3,C\C=C/C1=NCCCC1,Pyridines and derivatives
4-Hydroxynornantenine,69128-21-8,COC1=C(OC)C2=C3C(CC4=CC5=C(OCO5)C=C24)NCC(O)C3=C1,Aporphines
Oxonantenine,15358-38-0,COC1=C(OC)C2=C3C(C=CN=C3C(=O)C3=CC4=C(OCO4)C=C23)=C1,Aporphines
DEAE-cellulose,9013-34-7,OCC1O[C@@H](O[C@H]2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,
Hydroxypropyl methyl cellulose,9004-65-3,COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C1O,Carbohydrates and carbohydrate conjugates
Hydroxyethyl methyl cellulose,9032-42-2,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,
Ethyl cellulose,9004-57-3,CCOCC1OC(OC)C(OCC)C(OCC)C1OC1OC(CO)C(OC)C(O)C1O,Carbohydrates and carbohydrate conjugates
"Poly-O-(carboxymethyl, 2-hydroxyethyl) cellulose",9004-30-2,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,
Citronellyl formate,105-85-1,CC(CCOC=O)CCC=C(C)C,Fatty Acyls
Stearoyllactic acid,4253-64-9,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(O)=O,Fatty Acyls
Benzyl glycinate 4-methylbenzenesulfonate salt,1738-76-7,CC1=CC=C(C=C1)S(O)(=O)=O.NCC(=O)OCC1=CC=CC=C1,Carboxylic acids and derivatives
Octyl gallate,1034-01-1,CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,Benzene and substituted derivatives
Phenylmethyl butanoate,103-37-7,CCCC(=O)OCC1=CC=CC=C1,Benzene and substituted derivatives
cis-3-Hexenyl butyrate,16491-36-4,CCCC(=O)OCC\C=C/CC,Fatty Acyls
cis-3-Hexenyl hexanoate,31501-11-8,CCCCCC(=O)OCC\C=C/CC,Fatty Acyls
cis-3-Hexenyl benzoate,25152-85-6,CC\C=C/CCOC(=O)C1=CC=CC=C1,Benzene and substituted derivatives
3-Methylbutyl benzoate,94-46-2,CC(C)CCOC(=O)C1=CC=CC=C1,Benzene and substituted derivatives
"5-Amino-4-hydroxy-3-(phenylazo)-2,7-naphthalenedisulfonic acid",2203-16-9,NC1=C2C(O)=C(\N=N\C3=CC=CC=C3)C(=CC2=CC(=C1)S(O)(=O)=O)S(O)(=O)=O,Naphthalenes
2-(4-Methylphenyl)propanal,99-72-9,CC(C=O)C1=CC=C(C)C=C1,
C.I. Food Red 1,4548-53-2,CC1=CC(C)=C(C=C1\N=N\C1=C(O)C2=CC=CC=C2C(=C1)S(O)(=O)=O)S(O)(=O)=O,Naphthalenes
C.I. Direct Red 45,25188-09-4,CC1=C(C2=C(C=C1)N=C(S2)C1=CC=C(C=C1)\N=N\C1=C(O)C2=CC=CC=C2C(=C1)S(O)(=O)=O)S(O)(=O)=O,Naphthalenes
C.I. Acid Violet 49,1694-09-3,CCN(CC1=CC=CC(=C1)S(O)(=O)=O)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](CC)CC1=CC=CC(=C1)S([O-])(=O)=O,Benzene and substituted derivatives
3-Phenylpropyl acetate,122-72-5,CC(=O)OCCCC1=CC=CC=C1,Benzene and substituted derivatives
Calcium benzoate,2090-05-3,[Ca++].[O-]C(=O)C1=CC=CC=C1.[O-]C(=O)C1=CC=CC=C1,
Ammonium benzoate,1863-63-4,[NH4+].[O-]C(=O)C1=CC=CC=C1,
Carboxymethyl starch,9057-06-1,OCC1OC(O)C(O)C(O)C1O,
2-Hydroxypropyl starch,9049-76-7,COC1C(O)C(O)C(OCC2OC(OC3C(O)C(O)C(C)OC3CO)C(O)C(O)C2OC2OC(CO)C(OC)C(O)C2OCC(C)(O)CO)OC1CO,
C.I. Food Black 1,2519-30-4,CC(=O)NC1=CC=C(C2=CC(=C(\N=N\C3=C4C=C(C=CC4=C(C=C3)\N=N\C3=CC=C(C=C3)S(O)(=O)=O)S(O)(=O)=O)C(O)=C12)S(O)(=O)=O)S(O)(=O)=O,Naphthalenes
C.I. Acid Green 50,25317-10-6,CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C(O)C(=CC2=C1C=CC(=C2)S(O)(=O)=O)S([O-])(=O)=O,Benzene and substituted derivatives
C.I. Acid Green 5,25305-94-6,CCN(CC1=CC=CC(=C1)S(O)(=O)=O)C1=CC=C(C=C1)C(C1=CC=C(C=C1)S(O)(=O)=O)=C1C=CC(C=C1)=[N+](CC)CC1=CC=CC(=C1)S([O-])(=O)=O,Benzene and substituted derivatives
C.I. Acid Red 13,25317-26-4,OC1=C(\N=N\C2=CC=C(C3=CC=CC=C23)S(O)(=O)=O)C2=CC=C(C=C2C=C1)S(O)(=O)=O,Naphthalenes
C.I. Food Black 2,25738-38-9,NC1=C(C=C2C=C(C(\N=N\C3=CC=C(\N=N\C4=CC=C(C=C4)S(O)(=O)=O)C4=C3C=C(C=C4)S(O)(=O)=O)=C(O)C2=C1)S(O)(=O)=O)S(O)(=O)=O,Naphthalenes
"4-Ethyl-2,6-dimethoxyphenol",14059-92-8,CCC1=CC(OC)=C(O)C(OC)=C1,Benzene and substituted derivatives
"3,5,7-Trihydroxy-4'-methoxy-8-prenylflavone 3-[rhamnosyl-(1->6)-galactoside] 7-galactoside",328-39-2,COC1=CC=C(C=C1)C1=C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)C(=O)C2=C(O1)C(CC=C(C)C)=C(OC1OC(CO)C(O)C(O)C1O)C=C2O,Flavonoids
Vinylpyrazine,4177-16-6,C=CC1=CN=CC=N1,
"(3b,16a)-Dihydroxy-12-oleanen-28-oic acid 3-glucoside 28-[glucosyl-(1->3)-[xylosyl-(1->3)-xylosyl-(1->4)-rhamnosyl-(1->2)]-arabinosyl] ester",168324-01-4,CC1OC(OC2C(OC(=O)C34CCC(C)(C)CC3C3=CCC5C6(C)CCC(OC7OC(CO)C(O)C(O)C7O)C(C)(C)C6CCC5(C)C3(C)CC4O)OCC(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1O,
Fumonisin AK1,170591-49-8,CCCCC(C)C(=O)C(CC(C)CC(O)CCCCC(O)CC(O)C(C)NC(C)=O)OC(=O)CC(CC(O)=O)C(O)=O,Carboxylic acids and derivatives
Annoglabasin B,205312-86-3,CC(=O)OCC1(C)CCCC2(C)C3CCC4CC3(CC4C(O)=O)CCC12,Prenol lipids
Annocherin A,218281-62-0,CC(=O)OCC1(O)CC23CC1CCC2C1(C)CCCC(C)(COC(C)=O)C1CC3,
Annoglabasin A,205312-85-2,COC(=O)C1(CC23CC1CCC2C1(C)CCCC(C)(C=O)C1CC3)OC(C)=O,
Yayoisaponin C,218934-75-9,CC1C2C(CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,Steroids and steroid derivatives
Yayoisaponin B,218934-74-8,CC1C2C(CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(=O)CC5(C)C4CCC23C)OC11CCC(C)CO1,
Quillaic acid 3-[galactosyl-(1->2)-glucuronide],168647-42-5,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2C1)C(O)=O,Prenol lipids
Quillaic acid 3-[rhamnosyl-(1->3)-[galactosyl-(1->2)]-glucuronide],210426-59-8,CC1OC(OC2C(O)C(OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(O)CC54C)C(O)=O)C3(C)C=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)C(O)C1O,Prenol lipids
Quillaic acid 3-[xylosyl-(1->3)-[galactosyl-(1->2)]-glucuronide],97892-86-9,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2C1)C(O)=O,Prenol lipids
Saponarioside B,214552-00-8,CC1OC(OC2C(O)C(OC3OC(C)C(OC(C)=O)C(O)C3O)C(C)OC2OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C2(C)CC3O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1O,Prenol lipids
4-Methoxycinnamoyloleanolic acid methyl ester,189140-50-9,COC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(OC(=O)\C=C\C5=CC=C(OC)C=C5)C(C)(C)C4CCC3(C)C1(C)CC2,Prenol lipids
26-Methyl nigranoate,212830-20-1,COC(=O)C(\C)=C/CCC(C)C1CCC2(C)C3CCC(C(C)=C)C4(CCC(O)=O)CC34CCC12C,Prenol lipids
Theasaponin E1,220114-28-3,C\C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2CC1(C)C,
Theasaponin E2,220114-30-7,C\C=C(\C)C(=O)OC1C(O)C2(COC(C)=O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2CC1(C)C,
threo-Anethole glycol,112018-74-3,COC1=CC=C(C=C1)C(O)C(C)O,
erythro-Anethole glycol,103687-27-0,COC1=CC=C(C=C1)C(O)C(C)O,
Gibberellin A20 13-glucoside,73607-09-7,CC12CCCC3(OC1=O)C1CCC4(CC1(CC4=C)C(C23)C(O)=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
Sodium octanoate,1984-06-1,[Na+].CCCCCCCC([O-])=O,
Potassium octanoate,764-71-6,[K+].CCCCCCCC([O-])=O,
Magnesium octanoate,3386-57-0,[Mg++].CCCCCCCC([O-])=O.CCCCCCCC([O-])=O,
Aluminium octanoate,6028-57-5,[Al+3].CCCCCCCC([O-])=O.CCCCCCCC([O-])=O.CCCCCCCC([O-])=O,
Magnesium dodecanoate,4040-48-6,[Mg++].CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC([O-])=O,
Calcium dodecanoate,4696-56-4,[Ca++].CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC([O-])=O,
Aluminium dodecanoate,7230-93-5,[Al+3].CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC([O-])=O,
Gibberellin A55,55035-85-3,CC12C3C(C(O)=O)C45CC(C(O)CC4C3(OC1=O)C(O)CC2O)C(=C)C5,Prenol lipids
"(5x,6x)-5,6-Epoxyergosta-7,22-dien-3-ol",216302-95-3,CC(C)C(C)\C=C\C(C)C1CCC2C3=CC4OC44CC(O)CCC4(C)C3CCC12C,
"12,15-cis-Squamostatin D",158515-34-5,CCCCCCCCCCC(O)C1CCC(O1)C(O)CCC(O)C1CCC(CCCCCCCCCC2=CC(C)OC2=O)O1,Fatty Acyls
Asitrilobin A,170900-29-5,CCCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCCCCC(O)CCCCCC(O)CC1=CC(C)OC1=O,
"Cannogenol 3-[glucosyl-(1->4)-2,6-dideoxy-xylohexoside]",220710-05-4,CC1OC(CC(O)C1OC1OC(CO)C(O)C(O)C1O)OC1CCC2(CO)C(CCC3C2CCC2(C)C(CCC32O)C2=CC(=O)OC2)C1,
Tsugaric acid A 21-glucosyl ester,205119-13-7,CC(C)=CCCC(C1CCC2(C)C3=C(CCC12C)C1(C)CCC(OC(C)=O)C(C)(C)C1CC3)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
Betavulgaroside VI,178535-50-7,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
Betavulgaroside VII,178535-51-8,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2C1)C(O)=O,Prenol lipids
(+)-Setoclavine,519-12-0,CN1CC(C)(O)C=C2C1CC1=CNC3=CC=CC2=C13,Ergoline and derivatives
Tanakamine,106449-17-6,CC(C)(O)C(CO)C1=CNC2=CC=CC=C12,
Tanakine,106449-15-4,CC(C)(O)C(O)CC1=CNC2=CC=CC=C12,Indoles and derivatives
Moschamindole,99615-94-8,COC1=C(O)C=CC(=C1)C1OC2=C3C1C(=O)NCCC1=CNC(C=C2)=C31,
(R)-Rhazinilam,36193-36-9,CCC12CCCN3C=CC(=C13)C1=CC=CC=C1\N=C(O)/CC2,
(S)-Homostachydrine,472-22-0,C[N+]1(C)CCCC[C@H]1C([O-])=O,
4-Acetyl-1-methylcyclohexene,6090-09-1,CC(=O)C1CCC(C)=CC1,
(±)-Aegeline,37791-13-2,COC1=CC=C(C=C1)C(O)CNC(=O)\C=C\C1=CC=CC=C1,
Nigellimine N-oxide,96562-85-5,COC1=C(OC)C=C2C(C)=N(=O)C=CC2=C1,
Lepidine,100108-65-4,COC1=CC=CC(CC2=NC=CN2)=C1OC1=CC=CC(CC2=NC=CN2)=C1,
"Na,Na-Dimethylhistamine",673-46-1,CN(C)CCC1=CN=CN1,
(-)-alpha-Narcotine,128-62-1,[H][C@@]1(OC(=O)C2=C1C=CC(OC)=C2OC)[C@]1([H])N(C)CCC2=CC3=C(OCO3)C(OC)=C12,Phthalide isoquinolines
Narcotoline,521-40-4,COC1=C(OC)C2=C(C=C1)C(OC2=O)C1N(C)CCC2=CC3=C(OCO3)C(O)=C12,
(±)-alpha-Narcotine,6035-40-1,COC1=C(OC)C2=C(C=C1)C(OC2=O)C1N(C)CCC2=CC3=C(OCO3)C(OC)=C12,
Mytilin B,70579-26-9,COC1=C(CC(O)(CO)C\C1=[NH+]/C(C(C)O)C(O)=O)NCC(O)=O,
Sorgoleone 358,105018-76-6,COC1=CC(=O)C(O)=C(CCCCCCC\C=C\C\C=C\CC=C)C1=O,
15-Acetyl-4-deoxynivalenol,88337-96-6,CC(=O)OCC12C(O)C(=O)C(C)=CC1OC1C(O)CC2(C)C11CO1,Prenol lipids
Honyumine,100595-86-6,COC1=C(O)C=CC2=C1N(C)C1=CC3=C(C=CC(C)(C)O3)C(O)=C1C2=O,
Rutagravine,101330-60-3,CN1C2=CC=CC=C2C(=O)C2=C1C1=C(OC3C1OCC3(C)O)C=C2O,
Retrofractamide A,94079-67-1,CC(C)CNC(=O)\C=C\C=C\CC\C=C\C1=CC2=C(OCO2)C=C1,
Retrofractamide C,96386-33-3,CC(C)CNC(=O)\C=C\CCCC\C=C\C1=CC2=C(OCO2)C=C1,
Pipercide,54794-74-0,CC(C)CNC(=O)\C=C\C=C\CCCC\C=C\C1=CC2=C(OCO2)C=C1,
Retrofractamide D,96386-34-4,CC(C)CNC(=O)\C=C\C=C\CCC\C=C\C1=CC2=C(OCO2)C=C1,
Cadabicine,99964-83-7,OC1=CC=C2C=C1OC1=CC=C(C=C1)\C=C\C(=O)NCCCNCCCCNC(=O)\C=C\2,
Koenoline,3909-78-2,COC1=CC(CO)=CC2=C1NC1=CC=CC=C21,
Fagomine,53185-12-9,OCC1NCCC(O)C1O,
2-Hydroxy-3-methyl-9H-carbazole,24224-30-4,CC1=C(O)C=C2NC3=CC=CC=C3C2=C1,
2-Methoxy-3-methyl-9H-carbazole,24224-28-0,COC1=C(C)C=C2C(NC3=CC=CC=C23)=C1,
(Z)-2-Hexen-1-ol,2305-21-7,CCC\C=C\CO,Fatty Acyls
3-Hexen-1-ol,928-97-2,CC\C=C/CCO,Fatty Acyls
Flazine methyl ether,159898-11-0,COCC1=CC=C(O1)C1=C2NC3=CC=CC=C3C2=CC(=N1)C(O)=O,
N-Carbamoylputrescine,6851-51-0,NCCCCNC(O)=N,Organic carbonic acids and derivatives
Flazine,100041-05-2,OCC1=CC=C(O1)C1=C2NC3=CC=CC=C3C2=CC(=N1)C(O)=O,Harmala alkaloids
4-Hexen-1-ol,6126-50-7,C\C=C/CCCO,
4-Hydroxycinnamoylagmatine,7295-86-5,NC(=N)NCCCCNC(=O)\C=C\C1=CC=C(O)C=C1,
4-Coumaroylputrescine,34136-53-3,NCCCCNC(=O)\C=C/C1=CC=C(O)C=C1,
4-Coumaroyl-2-hydroxyputrescine,24177-22-8,NCCC(O)CNC(=O)\C=C\C1=CC=C(O)C=C1,
Subaphylline,501-13-3,COC1=C(O)C=CC(\C=C/C(=O)NCCCCN)=C1,
Sinapoylputrescine,70185-57-8,COC1=CC(\C=C/C(=O)NCCCCN)=CC(OC)=C1O,
Di-4-coumaroylputrescine,37946-59-1,OC1=CC=C(\C=C\C(=O)NCCCCNC(=O)\C=C\C2=CC=C(O)C=C2)C=C1,
Dicaffeoylputrescine,60422-23-3,OC1=CC=C(\C=C\C(=O)NCCCCNC(=O)\C=C\C2=CC(O)=C(O)C=C2)C=C1O,
Diferuloylputrescine,42369-86-8,COC1=CC(\C=C\C(=O)NCCCCNC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,
"N1,N10-Dicoumaroylspermidine",65715-79-9,OC1=CC=C(\C=C\C(=O)NCCCCNCCCNC(=O)\C=C\C2=CC=C(O)C=C2)C=C1,
Caffeoylferuloylspermidine,124935-81-5,COC1=C(O)C=CC(\C=C\C(=O)NCCCCNCCCNC(=O)\C=C\C2=CC(O)=C(O)C=C2)=C1,
"N1,N10-Diferuloylspermidine",70185-61-4,COC1=CC(\C=C\C(=O)NCCCCNCCCNC(=O)\C=C/C2=CC(OC)=C(O)C=C2)=CC=C1O,
Sodium octadecanoate,822-16-2,[Na+].CCCCCCCCCCCCCCCCCC([O-])=O,
Potassium octadecanoate,593-29-3,[K+].CCCCCCCCCCCCCCCCCC([O-])=O,
Magnesium octadecanoate,557-04-0,[Mg++].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O,
Calcium octadecanoate,1592-23-0,[Ca++].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O,
Aluminium octadecanoate,637-12-7,[Al+3].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O,
Zinc octadecanoate,557-05-1,[Zn++].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O,
Geranyl benzoate,94-48-4,CC(C)=CCC\C(C)=C/COC(=O)C1=CC=CC=C1,
Sinapoylspermine,70185-65-8,COC1=CC(\C=C/C(=O)N(CCCN)CCCCNCCCN)=CC(OC)=C1O,
Graveoline,485-61-0,CN1C2=CC=CC=C2C(=O)C=C1C1=CC2=C(OCO2)C=C1,
Epiestradiol,57-91-0,CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O,Steroids and steroid derivatives
Baptifoline,732-50-3,OC1CCN2CC3CC(CN4C(=O)C=CC=C34)C2C1,
Plantagonine,21857-97-6,CC1CCC2=C1C=NC=C2C(O)=O,
"6,7-Dihydro-4-(hydroxymethyl)-2-(p-hydroxyphenethyl)-7-methyl-5H-2-pyrindinium",15794-93-1,CC1CCC2=C(CO)C=[N+](CCC3=CC=C(O)C=C3)C=C12,
(S)-Valerianine,30634-66-3,COCC1=C2CCC(C)C2=CN=C1,
Gentiatibetine,26005-36-7,CC1=C2C(O)OCCC2=CC=N1,
(Z)-4-Hexen-1-ol,928-92-7,C\C=C/CCCO,
Pipermethystine,71627-22-0,CC(=O)OC1CN(C(=O)CCC2=CC=CC=C2)C(=O)C=C1,
1-Hydroxy-3-methyl-9H-carbazole,14960-81-7,CC1=CC2=C(NC3=CC=CC=C23)C(O)=C1,
Aurasperone D,67924-64-5,COC1=CC2=C(C3=C(C(=O)C=C(C)O3)C(O)=C2C(O)=C1)C1=C(OC)C2=C(O)C3=C(OC(C)=CC3=O)C=C2C=C1OC,
Isoaurasperone A,71695-22-2,COC1=CC2=C(C(O)=C1)C(OC)=C1C(=O)C=C(C)OC1=C2C1=C(OC)C=C2C=C3OC(C)=CC(=O)C3=C(OC)C2=C1O,
Pectenotoxin 2,97564-91-5,CC1CCOC(O)(C2CC3OC(=O)C(C)C4CCCC5(CCC(O5)C(O)C5(C)CC(=O)C(O5)C5CC6(C)CCC(O6)(O5)C5CCC(C)(CC(C)\C=C(/C)\C=C\C3O2)O5)O4)C1O,Macrolides and analogues
Pectenotoxin 3,97560-25-3,CC1CCOC(O)(C2CC3OC(=O)C(C)C4CCCC5(CCC(O5)C(O)C5(C)CC(=O)C(O5)C5CC6(CCC(O6)(O5)C5CCC(C)(CC(C)\C=C(/C)\C=C\C3O2)O5)C=O)O4)C1O,
Pectenotoxin 4,97564-90-4,CC1CCOC(O)(C2CC3OC(=O)C(C)C4CCCC5(CCC(O5)C(O)C5(C)CC(=O)C(O5)C5CC6(CO)CCC(O6)(O5)C5CCC(C)(CC(C)\C=C(/C)\C=C\C3O2)O5)O4)C1O,Macrolides and analogues
Desglucodesrhamnoparillin,96351-58-5,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)OC11CCC(C)CO1,
Testosterone,58-22-0,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,Steroids and steroid derivatives
Tetronasin,75139-06-9,COC(C)C1CC(C)C(O1)C(C)\C=C/C1CCC(C)C(O1)C(\CO)=C\C1CCCC(C)C1C(C)C(\[O-])=C1/C(=O)COC1=O,
24-Methylenelophenol,1176-52-9,CC(C)C(=C)CCC(C)C1CCC2C3=CCC4C(C)C(O)CCC4(C)C3CCC12C,Steroids and steroid derivatives
Nigerone,76069-41-5,COC1=CC2=C(C(O)=C3C(=O)C=C(C)OC3=C2C2=C3OC(C)=CC(=O)C3=C(O)C3=C2C=C(OC)C=C3OC)C(OC)=C1,
6-O-Demethylnigerone,76045-68-6,COC1=CC2=C(C(O)=C1)C(O)=C1C(=O)C=C(C)OC1=C2C1=C2OC(C)=CC(=O)C2=C(O)C2=C1C=C(OC)C=C2OC,
Lyciumoside IV,212773-31-4,CC1OC(OC2C(CO)OC(OC(C)(CC\C=C(/C)CC\C=C(\C)CC\C=C(/C)COC3OC(CO)C(O)C(O)C3O)C=C)C(O)C2O)C(O)C(O)C1O,
Lyciumoside VI,212773-42-7,CC1OC(OCC2OC(OC\C(C)=C\CC\C(C)=C/CC\C(C)=C\CCC(C)(OC3OC(CO)C(OC4OC(C)C(O)C(O)C4O)C(O)C3O)C=C)C(O)C(O)C2O)C(O)C(O)C1O,
Lyciumoside VII,212773-44-9,CC1OC(OCC2OC(OC\C(C)=C\CC\C(C)=C/CC\C(C)=C\CCC(C)(OC3OC(CO)C(O)C(O)C3O)C=C)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,
Lyciumoside IX,212773-48-3,C\C(CC\C=C(/C)COC1OC(CO)C(O)C(O)C1O)=C\CC\C(C)=C\CCC(C)(OC1OC(COC(=O)CC(O)=O)C(O)C(O)C1O)C=C,
Small bacteriocin,172617-17-3,CCCCCC\C=C\CCCC(O)CC(=O)NC1CCOC1=O,
"(9Z,11R,12S,13S,15Z)-12,13-Epoxy-11-hydroxy-9,15-octadecadienoic acid",106034-49-5,CC\C=C/CC1OC1C(O)\C=C\CCCCCCCC(O)=O,
Gonyautoxin II,60508-89-6,NC(=O)OCC1NC(=N)N2CC(OS(O)(=O)=O)C(O)(O)C22NC(=N)NC12,
Gonyautoxin IV,64296-26-0,NC(=O)OCC1C2NC(=N)NC22N(CC(OS(O)(=O)=O)C2(O)O)C(=N)N1O,"Saxitoxins, gonyautoxins, and derivatives"
Protogonyautoxin 3,89614-45-9,ON1C(COC(=O)NS(O)(=O)=O)C2NC(=N)NC22N(CC(OS(O)(=O)=O)C2(O)O)C1=N,
Protogonyautoxin I,80173-30-4,OC1(O)C(CN2C(=N)NC(COC(=O)NS(O)(=O)=O)C3NC(=N)NC123)OS(O)(=O)=O,
Gonyautoxin VI,82810-44-4,ON1C(COC(=O)NS(O)(=O)=O)C2NC(=N)NC22N(CCC2(O)O)C1=N,
Gonyautoxin V,64296-25-9,OC1(O)CCN2C(=N)NC(COC(=O)NS(O)(=O)=O)C3NC(=N)NC123,
Fusarochromanone,104653-89-6,CC1(C)CC(=O)C2=C(O1)C=CC(C(=O)CC(N)CO)=C2N,
Citreovirenone,103955-68-6,COC1=CC(CC2=CC(=O)CC(C)O2)=CC(O)=C1,
Citreovirone,103955-67-5,COC1=CC(CC(=O)CC(O)C(Cl)Cl)=CC(O)=C1,
"5,6-Dihydro-4-methoxy-2H-pyran-2-one",83920-64-3,COC1=CC(=O)OCC1,
S-(2-Aminoethyl)-L-cysteine,2936-69-8,NCCSCC(N)C(O)=O,
N-Ornithyl-L-taurine,98349-67-8,NCCCC(N)C(=O)NCCS(O)(=O)=O,
1-Hydroxyrutacridone epoxide,101330-59-0,CN1C2=CC=CC=C2C(=O)C2=C1C1=C(OC(C1O)C1(C)CO1)C=C2O,
20-Hydroxyrutacridone epoxide,80565-10-2,CN1C2=CC=CC=C2C(=O)C2=C1C1=C(OC(C1)C1(CO)CO1)C=C2O,
Oxopurpureine,32845-27-5,COC1=C(OC)C=C2C(=C1)C(=O)C1=NC=CC3=C1C2=C(OC)C(OC)=C3OC,
Lambertine,120834-89-1,COC1=CC=C2C=C3N(CCC4=CC5=C(OCO5)C=C34)CC2=C1OC,
"2,4-Undecadiene-8,10-diynoic acid 2,3-dehydropiperidide",52704-38-8,O=C(\C=C\C=C/CCC#CC#C)N1CCCC=C1,
Chalciporone,112448-74-5,CCC(=O)CC\C=C\C=C/C1=NC(C)=CC=CC1,
"(2E,4E,6Z)-2,4,6-Decatrienoic acid dehydropiperidide",43110-67-4,CCC\C=C\C=C/C=C/C(=O)N1CCCC=C1,
"2,4,6,8-Decatetraenoic acid dehydropiperidide",43110-68-5,C\C=C\C=C\C=C/C=C/C(=O)N1CCCC=C1,
Dimethicone,9006-65-9,C[Si](C)(C)O[Si](C)(C)C,
Ceftiofur,80370-57-6,CO\N=C(/C(=O)NC1C2SCC(CSC(=O)C3=CC=CO3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1,
Fragransin C1,112572-57-3,COC1=CC(=CC=C1O)C1OC(C(C)C1C)C1=CC(OC)=C(O)C(OC)=C1,
Honyudisin,114542-45-9,CC(C)=CCC1=C2OC(C)(C)C=CC2=C2OC(=O)C=CC2=C1O,
